id,segment,locale_style,user_message,ideal_bot_response,slots_json
JY00028,welcome_menu,light_sg,hello team I need some help about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00029,welcome_menu,standard,hi jal yoga what can I choose here about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00030,welcome_menu,light_sg,good evening can I check something for now,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00031,welcome_menu,standard,good morning I want to know where to start today,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00032,welcome_menu,medium_sg,hello team I need some help about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00033,welcome_menu,light_sg,hi how can this chat help me for now,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00034,welcome_menu,standard,hi how can this chat help me before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00035,welcome_menu,medium_sg,good evening can I check something about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00036,welcome_menu,medium_sg,good evening what can I do in this chat leh,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00037,welcome_menu,light_sg,hello team I want to know where to start,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00038,welcome_menu,light_sg,good morning I need some help,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00039,welcome_menu,medium_sg,hello team how can this chat help me ah,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00040,welcome_menu,standard,good morning can I check something about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00041,welcome_menu,light_sg,hello what can I choose here about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00042,welcome_menu,light_sg,good evening what can I choose here today,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00043,welcome_menu,light_sg,good evening I have a few questions,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00044,welcome_menu,medium_sg,hello team I just want to ask about your services about my account ya,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00045,welcome_menu,standard,good evening can someone guide me,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00046,welcome_menu,standard,hi what are the menu options,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00047,welcome_menu,light_sg,hello what can I do in this chat,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00048,welcome_menu,standard,hi jal yoga I need some help,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00049,welcome_menu,light_sg,hey can someone guide me,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00050,welcome_menu,light_sg,hi jal yoga what can I do in this chat before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00051,welcome_menu,light_sg,hello team can someone guide me about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00052,welcome_menu,standard,hi can I check something about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00053,welcome_menu,standard,good morning I have a few questions for now,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00054,welcome_menu,medium_sg,hi can I check something ya,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00055,welcome_menu,medium_sg,hi I just want to ask about your services can or not,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00056,welcome_menu,standard,hello how can this chat help me for now,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00057,welcome_menu,standard,hi can someone guide me about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00058,welcome_menu,medium_sg,good evening can I check something,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00059,welcome_menu,light_sg,hi can I check something about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00060,welcome_menu,medium_sg,hello I have a few questions for now can or not,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00061,welcome_menu,medium_sg,hello I have a few questions,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00062,welcome_menu,standard,hello team can someone guide me today,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00063,welcome_menu,standard,hi jal yoga I want to know where to start about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00064,welcome_menu,light_sg,hello I just want to ask about your services today,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00065,welcome_menu,standard,hi what can I do in this chat about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00066,welcome_menu,light_sg,hi jal yoga what are the menu options,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00067,welcome_menu,standard,good morning I want to know where to start about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00068,welcome_menu,light_sg,hi I want to know where to start,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00069,welcome_menu,medium_sg,hi what can I do in this chat,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00070,welcome_menu,standard,good evening what can I do in this chat before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00071,welcome_menu,standard,hi jal yoga how can this chat help me for now,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00072,welcome_menu,standard,hello team can I check something,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00073,welcome_menu,light_sg,good evening how can this chat help me,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00074,welcome_menu,medium_sg,hi I just want to ask about your services today can or not,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00075,welcome_menu,medium_sg,hi jal yoga how can this chat help me before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00076,welcome_menu,medium_sg,good evening I need some help about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00077,welcome_menu,standard,hi jal yoga can I check something,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00078,welcome_menu,standard,good evening I just want to ask about your services about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00079,welcome_menu,standard,hello team what can I choose here about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00080,welcome_menu,medium_sg,hello can someone guide me before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00081,welcome_menu,medium_sg,good evening I need some help about classes leh,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00082,welcome_menu,standard,hi how can this chat help me today,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00083,welcome_menu,medium_sg,hello team I need some help today leh,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00084,welcome_menu,light_sg,hey I want to know where to start about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00085,welcome_menu,standard,good evening what can I choose here,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00086,welcome_menu,medium_sg,hello team what can I choose here for now ya,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00087,welcome_menu,medium_sg,good morning I just want to ask about your services today ah,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00088,welcome_menu,standard,hi can someone guide me,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00089,welcome_menu,standard,good morning what are the menu options today,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00090,welcome_menu,medium_sg,hello team I just want to ask about your services leh,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00091,welcome_menu,standard,hey can I check something about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00092,welcome_menu,light_sg,hello team I want to know where to start today,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00093,welcome_menu,medium_sg,hi can I check something before I book ya,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00094,welcome_menu,medium_sg,hello how can this chat help me,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00095,welcome_menu,standard,hello team I want to know where to start about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00096,welcome_menu,light_sg,hi jal yoga I just want to ask about your services today,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00097,welcome_menu,standard,hi jal yoga what are the menu options before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
